Video,Frame,Persona,Articulación,X,Y,Confianza
1,0,0,0,0.0,0.0,0.0
1,0,0,1,1048.041,194.43628,0.9187845
1,0,0,2,1074.4272,189.06802,0.92927164
1,0,0,3,1142.1896,178.53824,0.86339444
1,0,0,4,1189.5105,152.49846,0.94284064
1,0,0,5,1021.92267,199.63188,0.87328947
1,0,0,6,1074.1934,204.76704,0.2902344
1,0,0,7,1163.225,168.12555,0.07864788
1,0,0,8,1022.0765,372.2977,0.8698517
1,0,0,9,1053.3207,372.4526,0.8355989
1,0,0,10,1058.6825,524.127,0.92077076
1,0,0,11,1027.3022,665.74475,0.8688753
1,0,0,12,995.77216,367.24475,0.8447529
1,0,0,13,1021.79663,513.74994,0.91895455
1,0,0,14,1016.44104,644.8721,0.8146495
1,0,0,15,0.0,0.0,0.0
1,0,0,16,0.0,0.0,0.0
1,0,0,17,1089.9069,152.36555,0.73504865
1,0,0,18,1037.6033,147.36934,0.27010322
1,0,0,19,1037.5125,702.4398,0.28954953
1,0,0,20,1011.51855,691.8278,0.239554
1,0,0,21,995.73956,660.52325,0.61365294
1,0,0,22,1053.2307,712.78375,0.7744639
1,0,0,23,1058.4219,707.7418,0.82689303
1,0,0,24,1021.71967,681.5186,0.8225683
1,0,1,0,1482.7037,660.35284,0.9569795
1,0,1,1,1482.5963,691.83673,0.9624355
1,0,1,2,1446.0887,691.96405,0.97755265
1,0,1,3,1445.9707,744.26294,0.9802516
1,0,1,4,1487.9199,749.4298,0.8938531
1,0,1,5,1509.0891,691.7341,0.9043713
1,0,1,6,1524.5668,744.43134,0.9122803
1,0,1,7,1482.9576,744.2554,0.7268173
1,0,1,8,1482.7538,770.5213,0.687467
1,0,1,9,1456.7782,775.5271,0.6952986
1,0,1,10,1467.0032,780.8078,0.23898774
1,0,1,11,1472.326,791.4005,0.06768098
1,0,1,12,1503.7029,770.4848,0.67951417
1,0,1,13,1524.6434,770.5939,0.2315031
1,0,1,14,0.0,0.0,0.0
1,0,1,15,1477.3751,650.148,0.9592573
1,0,1,16,1487.9587,650.1557,0.99355847
1,0,1,17,1456.7821,655.35394,0.84857637
1,0,1,18,1493.4929,655.4253,0.6903802
1,0,1,19,0.0,0.0,0.0
1,0,1,20,0.0,0.0,0.0
1,0,1,21,0.0,0.0,0.0
1,0,1,22,0.0,0.0,0.0
1,0,1,23,0.0,0.0,0.0
1,0,1,24,0.0,0.0,0.0
1,0,2,0,0.0,0.0,0.0
1,0,2,1,1912.6333,943.4029,0.07777374
1,0,2,2,0.0,0.0,0.0
1,0,2,3,0.0,0.0,0.0
1,0,2,4,0.0,0.0,0.0
1,0,2,5,1912.4629,932.7343,0.6150795
1,0,2,6,1619.0668,1137.2015,0.45674697
1,0,2,7,1383.2896,1257.5287,0.1330936
1,0,2,8,0.0,0.0,0.0
1,0,2,9,0.0,0.0,0.0
1,0,2,10,0.0,0.0,0.0
1,0,2,11,0.0,0.0,0.0
1,0,2,12,0.0,0.0,0.0
1,0,2,13,0.0,0.0,0.0
1,0,2,14,0.0,0.0,0.0
1,0,2,15,0.0,0.0,0.0
1,0,2,16,0.0,0.0,0.0
1,0,2,17,0.0,0.0,0.0
1,0,2,18,1912.601,759.98926,0.35599437
1,0,2,19,0.0,0.0,0.0
1,0,2,20,0.0,0.0,0.0
1,0,2,21,0.0,0.0,0.0
1,0,2,22,0.0,0.0,0.0
1,0,2,23,0.0,0.0,0.0
1,0,2,24,0.0,0.0,0.0
1,0,3,0,1105.8142,173.27225,0.111933015
1,0,3,1,0.0,0.0,0.0
1,0,3,2,1074.4272,189.06802,0.92927164
1,0,3,3,0.0,0.0,0.0
1,0,3,4,0.0,0.0,0.0
1,0,3,5,0.0,0.0,0.0
1,0,3,6,0.0,0.0,0.0
1,0,3,7,0.0,0.0,0.0
1,0,3,8,0.0,0.0,0.0
1,0,3,9,0.0,0.0,0.0
1,0,3,10,0.0,0.0,0.0
1,0,3,11,0.0,0.0,0.0
1,0,3,12,0.0,0.0,0.0
1,0,3,13,0.0,0.0,0.0
1,0,3,14,0.0,0.0,0.0
1,0,3,15,1105.6248,157.5166,0.15724725
1,0,3,16,0.0,0.0,0.0
1,0,3,17,1089.9069,152.36555,0.73504865
1,0,3,18,0.0,0.0,0.0
1,0,3,19,0.0,0.0,0.0
1,0,3,20,0.0,0.0,0.0
1,0,3,21,0.0,0.0,0.0
1,0,3,22,0.0,0.0,0.0
1,0,3,23,0.0,0.0,0.0
1,0,3,24,0.0,0.0,0.0
1,0,4,0,1823.3673,744.20575,0.93281287
1,0,4,1,0.0,0.0,0.0
1,0,4,2,0.0,0.0,0.0
1,0,4,3,0.0,0.0,0.0
1,0,4,4,0.0,0.0,0.0
1,0,4,5,1912.4629,932.7343,0.6150795
1,0,4,6,0.0,0.0,0.0
1,0,4,7,0.0,0.0,0.0
1,0,4,8,0.0,0.0,0.0
1,0,4,9,0.0,0.0,0.0
1,0,4,10,0.0,0.0,0.0
1,0,4,11,0.0,0.0,0.0
